"Module Name","Display Name","Driver Type","Link Date"
"pciide","pciide","Kernel ",""
"pcmcia","pcmcia","Kernel ",""
"pcw","Performance Counters for Windows Driver","Kernel ",""
"pdc","Prim rn¡ ýadiŸ dom‚ny","Kernel ",""
"PEAUTH","PEAUTH","Kernel ",""
"percsas2i","percsas2i","Kernel ","15.03.2016 1:50:11"
"percsas3i","percsas3i","Kernel ","01.06.2018 23:47:02"
"PktMon","Packet Monitor Driver","Kernel ",""
"pmem","OvladaŸ trval‚ho pamØœov‚ho disku Microsoft","Kernel ",""
"PNPMEM","OvladaŸ pamØœov‚ho modulu Microsoft","Kernel ",""
"portcfg","portcfg","Kernel ",""
"PptpMiniport","WAN Miniport (PPTP)","Kernel ",""
"Processor","OvladaŸ procesoru","Kernel ",""
"Psched","Pl novaŸ paket… technologie QoS","Kernel ",""
"pvhdparser","pvhdparser","Kernel ",""
"QWAVEdrv","OvladaŸ QWAVE","Kernel ",""
"Ramdisk","Windows RAM Disk Driver","Kernel ",""
"RasAcd","Remote Access Auto Connection Driver","Kernel ",""
"RasAgileVpn","Pýipojen¡ WAN Miniport (IKEv2)","Kernel ",""
"Rasl2tp","WAN Miniport (L2TP)","Kernel ",""
"RasPppoe","Remote Access PPPOE Driver","Kernel ",""
"RasSstp","Pýipojen¡ WAN Miniport (SSTP)","Kernel ",""
"rdbss","Podsyst‚m pýesmØrovan‚ho ukl d n¡ do vyrovn vac¡ pamØti","File System ",""
"rdpbus","OvladaŸ sbØrnice pýesmØrovaŸe zaý¡zen¡ vzd len‚ plochy","Kernel ",""
"RDPDR","Remote Desktop Device Redirector Driver","Kernel ",""
"RdpVideoMiniport","Remote Desktop Video Miniport Driver","Kernel ",""
"rdyboost","ReadyBoost","Kernel ",""
"ReFS","ReFS","File System ",""
"ReFSv1","ReFSv1","File System ",""
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ",""
"rhproxy","OvladaŸ proxy zdrojov‚ho rozboŸovaŸe","Kernel ",""
"rspndr","Respond‚r zjiçœov n¡ topologie linkov‚ vrstvy","Kernel ",""
"s3cap","s3cap","Kernel ",""
"sbp2port","OvladaŸ sbØrnice pro pýenos dat zaý¡zen¡ podporuj¡c¡ho protokol SBP-2","Kernel ",""
"scfilter","OvladaŸ filtru Ÿipovìch karet tý¡dy PnP","Kernel ",""
"scmbus","OvladaŸ Microsoftu pro sbØrnici SCM (Storage Class Memory)","Kernel ",""
"sdbus","sdbus","Kernel ",""
"SDFRd","Reflektor SDF","Kernel ",""
